,title,poster_path,imdb_id,vote_average
0,The Shawshank Redemption,/lyQBXzOQSuE59IsHyhrp0qIiPAz.jpg,tt0111161,8.702
1,The Godfather,/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,tt0068646,8.707
2,The Dark Knight,/qJ2tW6WMUDux911r6m7haRef0WH.jpg,tt0468569,8.512
3,Pulp Fiction,/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg,tt0110912,8.488
4,Schindler's List,/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,tt0108052,8.573
5,Forrest Gump,/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg,tt0109830,8.477
6,Spirited Away,/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,tt0245429,8.539
7,The Lord of the Rings: The Return of the King,/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,tt0167260,8.474
8,Parasite,/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,tt6751668,8.515
9,The Godfather Part II,/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,tt0071562,8.591
10,Fight Club,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,tt0137523,8.438
11,Interstellar,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,tt0816692,8.417
12,The Green Mile,/8VG8fDNiy50H4FedGwdSVUPoaJe.jpg,tt0120689,8.507
13,The Lord of the Rings: The Fellowship of the Ring,/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg,tt0120737,8.402
14,Inception,/oYuLEt3zVCKq57qu2F8dT7NIa6f.jpg,tt1375666,8.364
15,Your Name.,/q719jXXEzOoYaps6babgKnONONX.jpg,tt5311514,8.514
16,The Lord of the Rings: The Two Towers,/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg,tt0167261,8.385
17,Life Is Beautiful,/mfnkSeeVOBVheuyn2lo4tfmOPQb.jpg,tt0118799,8.455
18,GoodFellas,/aKuFiU82s5ISJpGZp7YkIr3kCUd.jpg,tt0099685,8.464
19,The Empire Strikes Back,/nNAeTmF4CtdSgMDplXTDPOpYzsX.jpg,tt0080684,8.4
20,Se7en,/6yoghtyTpznpBik8EngEmJskVUO.jpg,tt0114369,8.368
21,Spider-Man: Into the Spider-Verse,/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg,tt4633694,8.404
22,12 Angry Men,/ow3wq89wM8qd5X7hWKxiRfsFf9C.jpg,tt0050083,8.54
23,Whiplash,/7fn624j5lj3xTme2SgiLCeuedmO.jpg,tt2582802,8.381
24,Back to the Future,/fNOH9f1aA7XRTzl1sAOx9iF553Q.jpg,tt0088763,8.314
25,Psycho,/yz4QVqPx3h1hD1DfqqQkCq3rmxW.jpg,tt0054215,8.437
26,Avengers: Infinity War,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,tt4154756,8.255
27,One Flew Over the Cuckoo's Nest,/3jcbDmRFiQ83drXNOvRDeKHxS0C.jpg,tt0073486,8.42
28,Avengers: Endgame,/or06FN3Dka5tukK1e9sl16pB3iy.jpg,tt4154796,8.263
29,"The Good, the Bad and the Ugly",/bX2xnavhMYjWDoZp1VM6VnU1xwe.jpg,tt0060196,8.473
30,The Silence of the Lambs,/uS9m8OBk1A8eM9I042bx8XXpqAq.jpg,tt0102926,8.3
31,Léon: The Professional,/yI6X2cCM5YPJtxMhUd3dPGqDAhw.jpg,tt0110413,8.316
32,American History X,/euypWkaYFOLW3e5rLIcTAjWnhhT.jpg,tt0120586,8.352
33,The Intouchables,/323BP0itpxTsO0skTwdnVmf7YC9.jpg,tt1675434,8.277
34,Howl's Moving Castle,/6pZgH10jhpToPcf0uvyTCPFhWpI.jpg,tt0347149,8.402
35,The Lion King,/sKCr78MXSLixwmZ8DyJLrpMsd15.jpg,tt0110357,8.256
36,The Matrix,/f89U3ADr1oiB1s9GkdPOEpXUk5H.jpg,tt0133093,8.206
37,Inglourious Basterds,/7sfbEnaARXDDhKm0CZ7D7uc2sbo.jpg,tt0361748,8.215
38,The Pianist,/2hFvxCCWrTmCYwfy7yum0GKRi3Y.jpg,tt0253474,8.382
39,Shutter Island,/4GDy0PHYX3VRXUtwK5ysFbg3kEx.jpg,tt1130884,8.2
40,Coco,/gGEsBPAijhVUFoiNpgZXqRVWJt2.jpg,tt2380307,8.222
41,Dead Poets Society,/ai40gM7SUaGA6fthvsd87o8IQq4.jpg,tt0097165,8.312
42,City of God,/k7eYdWvhYQyRQoU2TB2A2Xu2TfD.jpg,tt0317248,8.429
43,Star Wars,/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,tt0076759,8.204
44,Django Unchained,/7oWY8VDWW7thTzWh3OKYRkWUlD5.jpg,tt1853728,8.171
45,The Shining,/xazWoLealQwEgqZ89MLZklLZD3k.jpg,tt0081505,8.218
46,Gladiator,/ty8TGRuvJLPUmAR1H1nRIsgwvim.jpg,tt0172495,8.209
47,Joker,/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg,tt7286456,8.168
48,Saving Private Ryan,/uqx37cS8cpHg8U35f9U5IBlrCV3.jpg,tt0120815,8.209
49,The Prestige,/Ag2B2KHKQPukjH7WutmgnnSNurZ.jpg,tt0482571,8.203
50,Green Book,/7BsvSuDQuoqhWmU2fL7W2GOcZHU.jpg,tt6966692,8.242
51,Dilwale Dulhania Le Jayenge,/ktejodbcdCPXbMMdnpI9BUxW6O8.jpg,tt0112870,8.552
52,Princess Mononoke,/cMYCDADoLKLbB83g4WnJegaZimC.jpg,tt0119698,8.338
53,Memento,/yuNs09hvpHVU1cBTCAk9zxsL2oW.jpg,tt0209144,8.188
54,Hacksaw Ridge,/jcStBvbQt78tPeId5hC7a9jcDOK.jpg,tt2119532,8.195
55,A Clockwork Orange,/4sHeTAp65WrSSuc05nRBKddhBxO.jpg,tt0066921,8.2
56,Grave of the Fireflies,/k9tv1rXZbOhH7eiCk378x61kNQ1.jpg,tt0095327,8.455
57,The Departed,/nT97ifVT2J1yMQmeq20Qblg61T.jpg,tt0407887,8.166
