,level_0,index,production_countries,popularity,vote_average,overview,genres,keywords,production_companies,weighted_rating,release_year,genre_embedding,keywords_embedding,production_comp_embedding,production_count_embedding
0,0,14,['united states of america'],122.61,8.702,"['framed', 'double', 'murder', 'wife', 'lover', 'upstanding', 'banker', 'andy', 'dufresne', 'begins', 'new', 'life', 'shawshank', 'prison', 'puts', 'accounting', 'skills', 'work', 'amoral', 'warden', 'long', 'stretch', 'prison', 'dufresne', 'comes', 'admired', 'inmates', 'including', 'older', 'prisoner', 'named', 'red', 'integrity', 'unquenchable', 'sense', 'hope']","['drama', 'crime']","['prison', 'friendship', 'police', 'brutality', 'corruption', 'based', 'novel', 'book', 'hope', 'prison', 'cell', 'delinquent', 'redemption', 'parole', 'board', 'prison', 'escape', 'wrongful', 'imprisonment', 'interracial', 'friendship', 'framed', 'murder', 'voiceover']",['castle rock entertainment'],8.567954307662308,1990s,"[-0.03579297  0.04640014  0.09911034  0.03421411 -0.02023685 -0.04881215
  0.13468458  0.07645815 -0.11096399  0.01019916]","[ 0.08286405  0.13173336  0.673885   -0.02560625  0.11436247  0.21970437
  0.65885395  0.4589233  -0.32912943 -0.46484128]",[-0.16706298 -0.05456711  0.2362224  -0.03293538  0.04397317],[-0.00639718  0.00790654  0.10568314  0.18369614 -0.19461927]
1,1,53,['united states of america'],158.448,8.707,"['spanning', 'years', 'chronicle', 'fictional', 'corleone', 'crime', 'family', 'organized', 'crime', 'family', 'patriarch', 'vito', 'corleone', 'barely', 'survives', 'attempt', 'life', 'youngest', 'son', 'michael', 'steps', 'take', 'care', 'killers', 'launching', 'campaign', 'bloody', 'revenge']","['drama', 'crime']","['based', 'novel', 'book', 'loss', 'loved', 'one', 'love', 'first', 'sight', 'italy', 'symbolism', 'patriarch', 'europe', 'organized', 'crime', 'mafia', 'religion', 'lawyer', 'revenge', 'motive', 'crime', 'family', 'sicilian', 'mafia', 'religious', 'hypocrisy', 'gun', 'violence', 'rise', 'power', 'dead', 'horse', 'gang', 'violence', 'mafia', 'war']","['paramount', 'alfran productions']",8.533811297926388,1970s,"[-0.03579297  0.04640014  0.09911034  0.03421411 -0.02023685 -0.04881215
  0.13468458  0.07645815 -0.11096399  0.01019916]","[ 0.05650885  0.08718853  0.6311897  -0.09800819  0.07017063  0.15415397
  0.67245543  0.49651736 -0.39057246 -0.43761772]",[0.19631065 0.38730285 0.45560303 0.02980926 0.05346427],[-0.00639718  0.00790654  0.10568314  0.18369614 -0.19461927]
2,2,2,"['united kingdom', 'united states of america']",130.643,8.512,"['batman', 'raises', 'stakes', 'war', 'crime', 'help', 'jim', 'gordon', 'district', 'attorney', 'harvey', 'dent', 'batman', 'sets', 'dismantle', 'remaining', 'criminal', 'organizations', 'plague', 'streets', 'partnership', 'proves', 'effective', 'soon', 'find', 'prey', 'reign', 'chaos', 'unleashed', 'rising', 'criminal', 'mastermind', 'known', 'terrified', 'citizens', 'gotham', 'joker']","['drama', 'action', 'crime', 'thriller']","['joker', 'sadism', 'chaos', 'secret', 'identity', 'crime', 'fighter', 'superhero', 'anti', 'hero', 'scarecrow', 'based', 'comic', 'vigilante', 'organized', 'crime', 'tragic', 'hero', 'anti', 'villain', 'criminal', 'mastermind', 'district', 'attorney', 'super', 'power', 'super', 'villain']","['dc comics', 'legendary pictures', 'syncopy', 'isobel griffiths', 'warner bros. pictures']",8.414297454792926,2000s,"[-0.05115381  0.06095301  0.05495859 -0.01865229  0.0283346  -0.04991797
  0.11796174  0.11733599 -0.12703522  0.00220456]","[ 0.20997527 -0.17946552  0.8340377  -0.21592665 -0.24129693  0.16122441
  0.6792475   0.4684222  -0.22757003 -0.31753492]",[ 0.03781015  0.21049142  0.18976218 -0.00174288 -0.1206266 ],[-0.07279584  0.06966176  0.14381105  0.04305519 -0.13837245]
3,3,9,['united states of america'],74.862,8.488,"['hit', 'man', 'philosophical', 'partner', 'gangster', 'moll', 'boxer', 'converge', 'sprawling', 'comedic', 'crime', 'caper', 'adventures', 'unfurl', 'three', 'stories', 'ingeniously', 'trip', 'back', 'forth', 'time']","['thriller', 'crime']","['drug', 'dealer', 'boxer', 'massage', 'stolen', 'money', 'briefcase', 'crime', 'boss', 'redemption', 'heirloom', 'dance', 'competition', 'los', 'angeles', 'california', 'theft', 'nonlinear', 'timeline', 'multiple', 'storylines', 'hilarious']","['miramax', 'a band apart', 'jersey films']",8.375511540493193,1990s,"[-0.09214386  0.08075444  0.03513587 -0.04383468  0.04028653 -0.02010704
  0.07706562  0.09018248 -0.07345272  0.07896036]","[-0.01869813  0.09335785  0.48088074 -0.20381813  0.5111698   0.4848667
  0.47279987  0.63927984 -0.4263293  -0.73476905]",[0.01573077 0.10000626 0.11241253 0.05444426 0.05765996],[-0.00639718  0.00790654  0.10568314  0.18369614 -0.19461927]
4,4,119,['united states of america'],65.084,8.573,"['true', 'story', 'businessman', 'oskar', 'schindler', 'saved', 'thousand', 'jewish', 'lives', 'nazis', 'worked', 'slaves', 'factory', 'world', 'war', 'ii']","['drama', 'history', 'war']","['factory', 'hero', 'based', 'novel', 'book', 'nazi', 'concentration', 'camp', 'ss', 'nazi', 'schutzstaffel', 'holocaust', 'shoah', 'world', 'war', 'ii', 'ghetto', 'jew', 'persecution', 'kraków', 'poland', 'defense', 'industry', 'concentration', 'camp', 'biography', 'based', 'true', 'story', 'industrialist', 'historical', 'fiction', 'black', 'white', 'train', 'poland', 'weapons', 'manufacturer', 'absurd']",['amblin entertainment'],8.373676256396042,1990s,"[-0.03745704  0.03769625  0.1064771   0.0366094  -0.02885622 -0.0978338
  0.15109776  0.15718275 -0.1352962  -0.04537118]","[ 0.0847715   0.06076806  0.6723011  -0.09978967 -0.0091537   0.1933105
  0.7273701   0.4483943  -0.24300312 -0.3789275 ]",[ 0.07555345  0.15145263  0.30782285 -0.05038418 -0.00862268],[-0.00639718  0.00790654  0.10568314  0.18369614 -0.19461927]
5,5,10,['united states of america'],92.693,8.477,"['man', 'low', 'iq', 'accomplished', 'great', 'things', 'life', 'present', 'significant', 'historic', 'case', 'far', 'exceeding', 'anyone', 'imagined', 'could', 'despite', 'achieved', 'one', 'true', 'love', 'eludes']","['comedy', 'drama', 'romance']","['vietnam', 'war', 'vietnam', 'veteran', 'mentally', 'disabled', 'friendship', 'usa', 'president', 'washington', 'dc', 'usa', 'stress', 'disorder', 'ptsd', 'waitress', 'china', 'based', 'novel', 'book', 'hippie', 'single', 'parent', 'parent', 'child', 'relationship', 'optimism', 'drug', 'addiction', 'autism', 'alabama', 'black', 'panther', 'party', 'bus', 'stop', 'family', 'relationships', 'single', 'mother', 'military', 'anti', 'war', 'protest', 'college', 'american', 'football', 'mother', 'son', 'relationship', 'loving']","['paramount', 'the steve tisch company', 'wendy finerman productions']",8.36334292137716,1990s,"[-0.00434431  0.0539721   0.10595378 -0.0187284   0.08730647 -0.04468722
  0.06967971  0.09064702 -0.12024985 -0.01250793]","[ 0.02706108  0.05316988  0.51505095 -0.01274897  0.20653115  0.20152347
  0.75466305  0.36828768 -0.51102084 -0.48970196]",[0.19631065 0.38730285 0.45560303 0.02980926 0.05346427],[-0.00639718  0.00790654  0.10568314  0.18369614 -0.19461927]
6,6,107,['japan'],68.024,8.539,"['young', 'girl', 'chihiro', 'becomes', 'trapped', 'strange', 'new', 'world', 'spirits', 'parents', 'undergo', 'mysterious', 'transformation', 'must', 'call', 'upon', 'courage', 'never', 'knew', 'free', 'family']","['animation', 'family', 'fantasy']","['witch', 'parent', 'child', 'relationship', 'darkness', 'bath', 'house', 'magic', 'spirit', 'parallel', 'world', 'amusement', 'park', 'youkai', 'japanese', 'mythology', 'anime']",['studio ghibli'],8.34750892732362,2000s,"[-0.03805794  0.06749835  0.1073266  -0.10912295  0.14289601 -0.03918036
  0.10122428  0.10555395 -0.11959258 -0.04202852]","[ 0.07345651  0.07696481  0.4936522  -0.07146852  0.18943024  0.1198653
  0.78673047  0.41463253 -0.51132387 -0.44531298]",[ 0.06913692  0.12381254  0.18114243 -0.14972597 -0.23992974],[0. 0. 0. 0. 0.]
7,7,20,"['new zealand', 'united states of america']",99.276,8.474,"['aragorn', 'revealed', 'heir', 'ancient', 'kings', 'gandalf', 'members', 'broken', 'fellowship', 'struggle', 'save', 'gondor', 'sauron', 'forces', 'meanwhile', 'frodo', 'sam', 'take', 'ring', 'closer', 'heart', 'mordor', 'dark', 'lord', 'realm']","['adventure', 'fantasy', 'action']","['based', 'novel', 'book', 'orcs', 'elves', 'dwarf', 'bravery', 'suspicion', 'volcano', 'addiction', 'honor', 'royalty', 'troll', 'brutality', 'ghost', 'wizard', 'quest', 'live', 'action', 'animation', 'sword', 'sorcery']","['new line cinema', 'wingnut films', 'the saul zaentz company']",8.346250935298482,2000s,"[-0.03222845  0.07575373  0.0946174  -0.11447974  0.09275029 -0.05022557
  0.18243782  0.07890034 -0.16094027 -0.08777892]","[ 0.16842985  0.06773903  0.7432938  -0.1354412  -0.04830154  0.04657678
  0.73233294  0.46506596 -0.20897321 -0.35810164]",[-0.02301216  0.0517779   0.34261194  0.01582076 -0.15672459],[-0.00639718  0.00790654  0.10568314  0.18369614 -0.19461927]
8,8,81,['south korea'],64.627,8.515,"['unemployed', 'family', 'takes', 'peculiar', 'interest', 'wealthy', 'glamorous', 'parks', 'livelihood', 'get', 'entangled', 'unexpected', 'incident']","['comedy', 'thriller', 'drama']","['dark', 'comedy', 'private', 'lessons', 'birthday', 'party', 'con', 'artist', 'working', 'class', 'psychological', 'thriller', 'class', 'differences', 'housekeeper', 'tutor', 'family', 'crime', 'family', 'unemployed', 'satirical', 'desperate', 'wealthy', 'family', 'complex', 'south', 'korea', 'seoul', 'south', 'korea', 'critical', 'egotistical', 'hilarious', 'intense', 'baffled', 'callous', 'dubious', 'farcical', 'mean', 'spirited', 'straightforward', 'urgent']",['barunson e&a'],8.34188565811056,2010s,"[-0.05220496  0.08167822  0.07667472 -0.04919309  0.07219214 -0.07002311
  0.09647422  0.16336347 -0.12871182 -0.00263804]","[ 0.10443014  0.02603212  0.49512845 -0.09273902  0.23783934  0.2563395
  0.7623723   0.43111697 -0.46213126 -0.43511218]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.]
9,9,215,['united states of america'],64.753,8.591,"['continuing', 'saga', 'corleone', 'crime', 'family', 'young', 'vito', 'corleone', 'grows', 'sicily', 'new', 'york', 'michael', 'corleone', 'attempts', 'expand', 'family', 'business', 'las', 'vegas', 'hollywood', 'cuba']","['drama', 'crime']","['italian', 'american', 'cuba', 'italy', 'gangster', 'praise', 'symbolism', 'melancholy', 'revenge', 'organized', 'crime', 'mafia', 'lawyer', 'suburb', 'corrupt', 'politician']","['paramount', 'the coppola company']",8.3395580244131,1970s,"[-0.03579297  0.04640014  0.09911034  0.03421411 -0.02023685 -0.04881215
  0.13468458  0.07645815 -0.11096399  0.01019916]","[ 0.07778241  0.06905309  0.640809   -0.0933164   0.13841678  0.27953306
  0.69011074  0.43388787 -0.3335134  -0.432676  ]",[0.19631065 0.38730285 0.45560303 0.02980926 0.05346427],[-0.00639718  0.00790654  0.10568314  0.18369614 -0.19461927]
